,class,predicted,top_10_tokens
15,1,9,"['中环', '房地产经纪', '房产', '平台', '中介', '金融', '子公司', '郑州中环', '信息', '九江', '房产交易', '太原', '乌鲁木齐', '房地产', '代理', '金融服务', '咨询服务', '湖南', '房屋交易', '湖南地区', '九江地区', '房屋买卖', '太原地区', '乌鲁木齐地区', '郑州地区', '该些', '因地', '开办期', '人和', '置业者', '买卖双方', '信息技术']"
16,2,8,"['保险产品', '保险代理', '代理', '保险公司', '销售', '27家', '物流', '保险费', '勘查', '保险业务', '中国保监会', '保监会', '理赔', '佣金', '损失', '风险管理', '营业', '2006年', '监管', '签订', '收取', '两大', '合同', '导向', '供应链', '贸易', '许可', '销售业务', '专业化', '合作关系', '产业', '长期']"
17,2,8,"['管理', '投后', '投资', '博信', '股权', '私募股权投资基金', '资产', '计划', '资本增值', '业务', '自有资金', '披露', '回购', '退出', '募集', '并购', '投资收益', '基金', '深圳', '天津', '资金', '目的', '公开', '说明书', '转让', '天津开发区', '环渤海经济区', '位于', '直投', '短期内', '方式', '实施']"
18,2,5,"['2012年1月', '扬州广电集团', '江苏省金融办', '省金融办', '三板', '已获', '挂牌', '批准', '进程', '注册资金', '备案', '控股', '组织', '成立', '2.5亿', '新', '中', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
19,2,3,"['天图', '基金', '管理', '五支', '人民币基金', '天图兴瑞', '兴盛', '天图兴华', '兴苏', '兴北', '深圳天图资本管理中心', '有限合伙', '担任', '50亿元', '投资', '私募股权', '美元', '基金管理人', '私募股权投资基金', '消费品', '人民币', '一支', '下属', '资产', '超过', '机构', '领先', '专注', '国内', '企业', '系', 'Tiantu']"
20,1,0,"['物业', '商办', '工商', '顾问', '物业管理', '众创空间', '所有者', '非住宅类', '街区', '生命周期', '产业园', '咨询', '使用者', '能为', '运营', '写字楼', '技术支持', '商业', '全方位', '一体化', '具备', '能力', '领域', '企业', '全', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
21,2,8,"['代理', '保险产品', '保险代理', '许可证', '投保人', '保险费', '业务', '勘查', '不断丰富', '中国保监会', '理赔', '损失', '有效期限', '保险公司', '为准', '更多', '收取', '2009年', '有效期', '经营', '群体', '成立', '品种', '售后服务', '水平', '工商部门', '销售', '始终', '合作关系', '核准', '提升', '全国']"
22,2,6,"['监管部门', '三农', '批准', '农村', '券等经', '业务', '面向', '涉农', '小额信贷', '小微企业私募债', '工商登记', '融资性担保', '工商户', '发放贷款', '个体', '微型', '机关', '小微企业', '农户', '金融机构', '组织', '经济', '本公司', '始终', '核准', '稳定', '2012年', '代理', '后方', '须经', '依法', '部门']"
23,1,2,"['二手房中介', '特许加盟', '新房', '服务公司', '房地产', '综合性', '涉及', '代理', '品牌', '运营', '管理', '销售', 'O2O', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
24,2,8,"['小额贷款业务', '融入', '资金', '银行', '大连市金融发展局', '中祥和', '营业网点', '大连市', '小贷', '批复', '工商登记', '自然人', '工商户', '个体', '自有资金', '机关', '小额贷款', '小微企业', '办理', '各项', '分公司', '限定', '区域', '持续', '利用', '核准', '业务', '面向', '稳定', '设立', '专注', '经营范围']"
25,2,9,"['浏阳市通源小额贷款有限公司', '原则', '贷款', '金融', '区域', '浏阳市政府', '千桶', '一地', '万民福', '灵活多样', '高效快捷', '基金组织', '诺言', '湖南省人民政府金融工作办公室', '八方', '责任感', '微小', '造就', '人民银行', '充分体现', '弥补', '小额信贷', '自我约束', '自我', '担风险', '信贷', '经济发展', '诚信为本', '招标', '自主经营', '小额贷款公司', '汇聚']"
26,2,5,"['审批', '山东省政府金融办', '济南高新技术产业开发区', '银监会', '人民银行', '合法经营', '济南市', '辖区', '行政区域', '高新区', '小额贷款业务', '小额贷款', '贷款', '办理', '专业化', '设立', '经营', '业务', '企业', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
27,2,8,"['基金', '投资', '股权', '资本增值', '私募股权投资基金', '投资收益', '挂牌', '方式', '收益', '资产', '管理', '业务', '二级市场', '管理费用', '股权转让', '私募', '投资人', '回购', '退出', '募集', '并购', '自有资金', '分成', '上市', '资金', '收取', '形式', '创造', '转让', '企业', '设立', '变化']"
28,2,8,"['天使', '创业', '投资', '入孵', '孵化器', '股权', '企业', '天使轮投资', '换取', '经营收入', '投资型', '赚取', '退出', '兼具', '投资收益', '服务费', '自有资金', '孵化', '一是', '二是', '可持续', '场地', '种子', '收取', '最终', '延伸', '培训', '均为', '2013年度', '方式', '机构', '2014年度']"
29,2,7,"['金融业', '全国中小企业股份转让系统挂牌公司', '期货业', '资本', '69', '证券', '投资', '分类', '私募投资基金监督管理暂行办法', '6740', '所属', '私募投资基金', '16111013', '私募基金管理人', '私募股权', '投资型', '管理型', '资本市场', '行业', '证监会', '颁布', '细分', '金融', '中国证监会', '国民经济行业分类', '修订', '业务', '上市公司行业分类指引', '2011', '2012年', '领域', 'J']"
30,2,0,"['证券', '证券投资', '代销', '证券交易', '巨石', '南证期货', '承销', '保荐', '融券', '期货公司', '财务顾问', '创投', '期货', '介绍', '融资', '基金', '业务', '经纪', '证监会', '资产', '自营', '金融', '投资', '子公司', '咨询', '批准', '活动', '管理', '经营范围', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
31,1,2,"['商业地产', '中介', '策划', '销售', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
32,2,2,"['期货经纪', '期货投资', '手续费', '利息收入', '收入', '咨询', '最近两年', '业务范围', '来源', '商品', '金融', '中国证监会', '核准', '业务', '变化', '发生', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
33,2,8,"['投资', '基金', '股权', '标的', '会员', '证券投资', '并购', '资金', '中国证券投资基金业协会', '投行', '整合', '私募投资基金', '推动', '行业', '募集', '升级', '规划', '产业', '节能环保', '资产', '中国证券业协会', '中国保险资产管理业协会', '中国上市公司协会', '出资人', '管理', '增值', '医疗', '力图', '资本运作', '践行者', '健康', '方式']"
34,1,3,"['车辆管理', '物业管理', '制售', '20005号', '增值', '中餐', '226', '车管家', '576', '信永中和会计师事务所', '120', '119', '389', '178', '产业园区', '限于', '总收入', '商业地产', '写字楼', '物业', '房屋', '机电设备', '分公司', '板块', '酒店', '住宅', '商务', '6月', '审计报告', '显示', '生活', '出具']"
35,2,8,"['资本市场', '代码', '股权', '接受', '金融机构', '委托', '咨询', '市场', '知识流程外包', '投中', '数据终端', '金融', '参与方', '广告', '投资', '民意调查', '民意测验', '金融信息', '业务流程外包', '社会调查', '金融业务', '信息', '批准', '调查', '会务', '调研', '多层次', '行业', '展开', '数据服务', '以此', '资讯']"
36,1,5,"['物业', '普通住宅', '商住', '1999年10月', '公建', '综合楼', '车库', '多类型', '公寓', '国家一级', '组建', '物业管理', '资质', '管理', '经营', '企业', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
37,2,0,"['投资', '股权', '私募基金', '资产', '净值', '835万元', '管理', '股票', '二级市场', '2012年8月', '管理型', '赚取', '债券', '投资收益', '自有资金', '注册资本', '企业', '顾问', '业务范围', '增值', '机构', '优质', '咨询', '专注', '成立', '高', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
38,1,7,"['房地产', '中介', '江西盈科行网络信息股份有限公司', '20101013', '房地产业', '服务类', '2012', '顾问', '2007年', '上线', '代码', '挂牌公司投资型行业分类指引', '策划', '挂牌公司管理型行业分类指引', '国民经济行业分类', '收入', '上市公司行业分类指引', '2011', '营销', '推广', '代理', '主营业务收入', '期内', '报告', '成立', '销售', '线', 'K70', 'GB', 'T4754', 'K7030', 'UNKNOWN']"
39,2,9,"['保险业务', '发电', '财产保险', '超过', '风险', '永诚保险', '短期健康保险', '意外伤害保险', '400家', '承保', '投资', '企业', '板块', '品牌形象', '资产', '能源', '两名', '装机容量', '三分之一', '财产险', '第六位', '峰会', '偿付能力', '32家', '支公司', '服务部', '保证保险', '信用保险', '600家', '保险市场', '资本金', '结余']"
40,2,0,"['寿险', '车险', '保险代理', '广东盛世华诚保险销售股份有限公司', '人保', '太保', '代理', '平安', '保险产品', '保险公司', '展开', '2006年', '导向', '关系', '多家', '全方位', '终端', '专业化', '长期', '稳定', '合作', '销售', '专注', '变化', '发展', '发生', '成立', '领域', '业务', '系', 'UNKNOWN', 'UNKNOWN']"
41,2,8,"['投资', '基金', '股权', '私募股权投资基金', '资本增值', '管理', '行业', '业务', '金融业', '募集', '投资收益', '69', '所属', '上市', '方式', '收益', '资金', '资产', '公开', '说明书', '企业', '转让', '1611证券期货业', '161110证券期货业', '浙商创投股份有限公司', '以大', '大文化', '财务性', '2015年以来', '产业性', '战略性投资', '16111013']"
42,2,6,"['代理', '理赔', '损失', '保险产品', '保险公司', '委托', '批准', '保险费', '业务', '勘查', '中国保监会', '辖区', '车险', '保险代理', '勘察', '合法', '山东省', '资格', '2004年', '收取', '行政', '成立', '工商部门', '销售', '渠道', '核准', '后方', '须经', '依法', '部门', '活动', '经营范围']"
43,1,9,"['创意', '牧民们', '创意产业园区', '服务式', '服务式公寓', '办公', '简约', '生活', '时尚', '办公楼', '群体', '目标', '创意生活', '热忱', '牧民', '新奇', '生活空间', '翌成创意', 'by', '生活品质', '老旧', '情感', '一群', '外籍', '承租', '生活方式', '新锐', '流行', '设计', '建筑设计', '整体规划', '生态系统']"
44,1,2,"['物业管理', '潜心', '十几年', '1997年', '综合型', '初步', '物业', '二级', '发展', '资质', '国家', '专注', '成立', '企业', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
45,2,3,"['保险公估', '保险标的', '当事人', '估损', '理算', '出险', '评估', '检验', '估价', '查勘', '保险标的残值处理', '保险理赔', '勘验', '承保', '风险评估', '中国保监会', '指为', '损失', '风险管理', '鉴定', '全国性', '环节', '独立', '第三方', '区域', '机构', '全国', '咨询', '批准', '经营范围', '业务', '港']"
46,2,5,"['批准', '融资性担保', '监管部门', '发放贷款', '三农', '金融机构', '主营', '业务', '面向', '代理', '后方', '须经', '依法', '部门', '活动', '项目', '经营', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
47,1,10,"['物业管理', '物业', '业主', '子公司', '呼伦贝尔', '包头', '阿拉善', '内蒙古地区', '鄂尔多斯', '科学化', '商业物业', '服务项目', '积极探索', '稳步发展', '几年', '机关', '领军', '遍布', '新兴', '借助', '住宅', '三级', '发展', '物联网', '现已', '企事业单位', '智慧', '地区', '始终', '专业化', '资质', '业务']"
48,1,8,"['物业', '物业管理', '房地产', '佛山市顺德区物业管理行业协会', '感动', '无所不在', '精求', '体贴', '浓郁', '践行', '关爱', '内涵', '真诚', '营造', '国家一级', '业主', '服务质量', '2000年', '深厚', '副会长', '对接', '客户服务', '企业', '配合', '前期', '赢得', '规范', '社区', '关系', '努力', '社会', '品质']"
49,2,0,"['保险产品', '代理', '主营业务系保险产品', '盈众保险代理', '车商', '保费', '机动车辆保险', '代销', '保监会', '理赔', '车险', '汽车后市场', '损失', '保险代理', '勘察', '监管', '收取', '现场', '支撑', '许可', '销售', '渠道', '业务', '面向', '团队', '管理', '专注', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
50,2,9,"['担保', '担保业务', '融资', '不动产', '深圳市', '发起', '国家建设部', '住房置业担保管理试行办法', '108号', '深圳市国土资源和房产管理局', '深圳市人民政府', '深圳市不动产担保股份有限公司', '深府股', '43号', '2002年12月20日', '发起人', '深圳市中小企业信用融资担保集团有限公司', '深圳市规划国土房产信息中心', '增信', '非银行', '增信类', '代偿率', '内较', '470亿元', '卓越集团', '流动资金贷款担保', '发生额', '房产交易', '2013年底', '低水平', '促进作用', '中国人民银行']"
51,1,10,"['物业管理', '会员单位', '用心', '广东省物业管理协会', '深圳市物业管理协会', '体贴', '关怀', '细致', '中国物业管理协会', '优质', '管家', '商业物业', '国家一级', '为宗旨', '以人为本', '舒适', '顾客', '写字楼', '形象', '物业', '十多年', '创建', '树立', '住宅', '商务', '一流', '口碑', '成立', '秉承', '高端', '始终', '资质']"
52,2,3,"['国有资产', '两翼', '投资', '聊城市', '重任', '聊城市委', '识大体', '顾大局', '为体', '市政府', '正确', '资本运作', '保值', '20余家', '城建', '大力支持', '资产重组', '创业投资', '债券', '有关部门', '实业', '重点项目', '领导', '市场化', '制度', '营运', '架构', '实践', '集团', '规范', '控股', '承担']"
53,2,3,"['安徽省濉溪县工商行政管理局', '淮北市', '濉溪县', '安徽省金融办', '开业', '下辖', '自负盈亏', '小额', '自我约束', '担风险', '信贷', '自主经营', '小额贷款公司', '工商户', '发放', '分散', '三农', '个体', '小额贷款', '小微企业', '安徽省', '开展业务', '原则', '对象', '注册', '法规', '法律', '成立', '区域', '核准', '中', 'UNKNOWN']"
54,2,8,"['鼎壹', '车管家', '车险', '车主', '汽车后市场', '壹修', '洗车', '平台', '车商', '购车', '微站', '出险', '渠道', '今日', '信用卡', '保费', '团队', '子公司', '俱乐部', '代销', '线下服务', '报价', '保监会', '理赔', '互联互通', '代理', '汽车', '代办', '损失', '自建', '救援', '保险产品']"
55,1,9,"['宁波', '营销代理', '本土', '苏州', '新房', '开发商', '房地产', '城投', '市场', '前列', '综合', '丰硕成果', '雅戈尔', '华侨城', '朗诗', '方兴', '中建信达', '绿城', '合生创展', '华茂集团', '苏高新集团', '建屋集团', '苏州地区', '合作关系', '30余个', '奥克斯', '流通领域', '20余个', '华润', '营销', '万科', '昆山']"
56,2,8,"['基金', '募集', '中邮', '基金份额', '资金', '封闭式基金', '专户', '方式', '开放式', '特定', '暂未', '资产', '公开', '分类', '设立', '基金份额持有人', '发起式基金', '赎回', '公募基金', '运作', '计划', '情况', '管理', '又称', '总额', '托管', '固定', '单位', '合同', '类型', '说明书', '出具']"
57,1,8,"['文化创意', '办公', '配套', '租赁', '建筑风格', '增值', '科技园区', '改建', '内外部', '使用价值', '租金', '建筑', '重塑', '经营权', '整体', '市场定位', '招商', '既有', '园区', '服务收入', '办公楼', '集成商', '客户群', '形象', '物业', '装修', '后续', '符合', '设施', '目标', '硬件', '完善']"
58,2,9,"['存款', '人民币', '定期存款', '个人通知存款', '活期存款', '单位', '贷款', '吸收', '业务', '长期贷款', '负债', '利差', '整存整取定期储蓄', '一本通', '七天', '利滚利', '零存整取定期储蓄', '协定存款', '银行承兑汇票贴现', '农户联保贷款', '联保', '过程', '具体表现', '对公', '小企业', '短期', '直接参与', '中间业务', '中期', '货币', '通知', '发放']"
59,1,5,"['产业园区', '投资', '批发业', '工商管理部门', '实业', '零售业', '物业', '营销策划', '企业管理', '租赁', '变更', '核准', '咨询', '运营', '管理', '经营范围', '期内', '报告', '开发', '发生', '企业', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
60,2,6,"['小额贷款业务', '小微企业', '黑龙江省金融办', '资产转让', '法人', '票据贴现', '业务', '城区', '自然人', '哈尔滨', '工商户', '发放贷款', '个体', '批准', '机关', '登记', '尚未', '审批', '经营', '核准', '面向', '代理', '后方', '须经', '依法', '部门', '活动', '经营范围', '项目', '现', '中', 'UNKNOWN']"
61,2,2,"['典当业务', '委托贷款业务', '融资', '租赁', '业务', '投资', '子公司', '管理', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
62,2,9,"['投资', '三板', '私募股权投资基金', '挂牌', '股权', '投资收益', '14', '2015年', '种子期', '眼光', '成长期', '021', '初创期', '万众', '月经', '838', '183', '业务', '企业', '成熟期', '780', '投融资', '创业投资', '领跑者', '回购', '441', '2013年', '退出', '财务报告', '449', '募集', '并购']"
63,2,5,"['融资', '委托贷款', '简要', '多样性', '介绍', '担保', '小额贷款', '股权', '业务', '各项', '情况', '租赁', '投资', '子公司', '作', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
64,2,3,"['排名', '渤海期货有限公司', '大连商品交易所', '2004年', '1月', '百万金期货经纪有限公司', '2008年1月', '辽宁省工商行政管理局', '商品交易', '交易量', '第12位', '第8名', '第1位', '第18', '26名', '全国期货公司', '赢利', '1996年', '更名', '全国', '原名', '2005', '1999年', '21', '2001年', '2003年', '2002年', '正式', '2005年', '会员', '2009年', '交易']"
65,2,8,"['私募股权投资基金', '业务', '板块', '金茂创业投资', '金懿固', '金信', '管理', '私募证券投资基金', '直投', '西藏', '设在', '南京', '为主体', '融资', '总部', '河南', '分支机构', '安徽', '广东', '设有', '2004年', '江苏', '山东', '四大', '三个', '浙江', '创立', '旗下', '上海', '租赁', '增值', '投资']"
66,2,5,"['期货经纪', '期货投资', '资产', '睦盛', '商品', '金融', '金融业', '资本市场', '咨询', '风险管理', '管理', '服务业', '全资子公司', '证书', '投资', '批准', '经营范围', '经营', '业务', '中', '持', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
67,1,2,"['系为', '稳健', '政府机关', '事业单位', '业绩', '物业管理', '住宅', '开发商', '医院', '商业', '工业', '专注', '变化', '发生', '成立', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
68,1,10,"['商业物业', '管理体系', '物业', '运作', '三标', '中国物业', '宁夏地区', '中国物业管理协会', '业务系', '美誉度', '极具', '场馆', '特别', '商场', '办公楼', '常务理事', '品牌知名度', '规范化', '培养', '物业管理', '管理', '确保', '酒店', '住宅', '注重', '学校', '职业', '一级', '银行', '医院', '环境', '健康']"
69,1,10,"['不动产', '物业管理', '综合', '机构', '非核心', '客户体验', '忠诚度', '高水平', '精细化', '品牌影响力', '外包服务', '为辅', '外包', '强化', '金融机构', '多元化', '委托', '特色', '资产', '创造', '企事业单位', '高品质', '标准化', '构建', '持续', '金融', '专业化', '业务', '维护', '模式', '整体', '核心']"
70,1,10,"['住宅小区', '物业', '物业管理', '雅荷', '雅荷春天', '商铺', '住房和城乡建设部', '中国物业管理协会', '系为', '国家一级', '小区', '办公楼', '荣誉称号', '会员单位', '规范', '数字化', '示范', '生活', '颁发', '管理系统', '政府', '标准', '始终', '资质', '高效', '提升', '全国', '2013年', '先进', '管理', '发展', '易']"
